Lat Lon emi_CO[kg/m2/s]
45.65 8.35 4.460124491956208e-10
45.65 8.45 4.725376201442089e-10
45.65 8.55 4.039169554381772e-10
45.65 8.65 4.845308598788733e-10
45.65 8.75 7.35122795969545e-10
45.65 8.85 5.850991913192161e-10
45.65 8.95 5.504806610545643e-10
45.65 9.05 6.761250448406031e-10
45.65 9.15 3.783566793202908e-10
45.65 9.25 7.473837659865978e-10
45.65 9.35 1.065209143114032e-09
45.65 9.45 9.389484745270238e-10
45.65 9.55 7.153735936960004e-10
45.65 9.65 9.134504819208189e-10
45.65 9.75 7.515808531088908e-10
45.65 9.85 4.581487411670082e-10
45.65 9.95 8.90469309400288e-10
45.65 10.05 6.011133812933167e-10
45.65 10.15 3.8846045824492137e-10
45.65 10.25 2.391142839286431e-10
45.65 10.35 3.0734281786237716e-10
45.65 10.45 4.2977077452377443e-10
45.65 10.55 2.8875718482979096e-10
45.65 10.65 2.712046975883453e-10
45.65 10.75 1.401988386495745e-10
45.65 10.85 1.5634796235453052e-10
45.65 10.95 1.4289494587593765e-10
45.65 11.05 1.1241956671126374e-10
45.65 11.15 4.434112799156509e-11
45.65 11.25 4.2472422800976517e-10
45.65 11.35 6.724159562487841e-10
45.65 11.45 6.763268278753287e-10
45.65 11.55 8.960532316137915e-10
45.65 11.65 6.910643168822617e-10
45.65 11.75 1.0575107456389787e-09
45.65 11.85 1.0004004291630508e-09
45.65 11.95 7.837044346814537e-10
45.65 12.05 7.153552750160941e-10
45.65 12.15 8.674184148738107e-10
45.65 12.25 9.830755098860777e-10
45.65 12.35 6.85348333639979e-10
45.65 12.45 4.764045269389783e-10
45.65 12.55 7.46774586612986e-10
45.65 12.65 2.624627459812956e-10
45.65 12.75 2.4852356284021937e-10
45.65 12.85 1.5180676160575501e-10
45.65 12.95 5.5288374573025934e-11
45.65 13.05 2.334930304659366e-10
45.75 8.45 5.743340802943919e-10
45.75 8.55 6.277183772773753e-10
45.75 8.65 5.551855641883208e-10
45.75 8.75 7.755441844281563e-10
45.75 8.85 1.2003653626635469e-09
45.75 8.95 7.670872270715279e-10
45.75 9.05 9.68447988469734e-10
45.75 9.15 7.949205738100318e-10
45.75 9.25 1.0791807447674273e-09
45.75 9.35 9.698115643885785e-10
45.75 9.45 7.916752253755988e-10
45.75 9.55 4.14313527929977e-10
45.75 9.65 4.5329415221395664e-10
45.75 9.75 4.0851561022847704e-10
45.75 9.85 5.276793446640227e-10
45.75 9.95 2.818620614686296e-10
45.75 10.05 2.535064380637664e-10
45.75 10.15 2.018778755275008e-10
45.75 10.25 2.611304228405942e-10
45.75 10.35 1.8069469531756255e-10
45.75 10.45 1.423223205954116e-10
45.75 10.55 4.95498052310861e-11
45.75 10.65 2.248123562309523e-11
45.75 10.75 1.8546146562936627e-10
45.75 10.85 1.219499362603571e-10
45.75 11.25 2.5943241999115685e-10
45.75 11.35 4.818919707716418e-10
45.75 11.45 6.809519614847659e-10
45.75 11.55 6.690512033280527e-10
45.75 11.65 6.539786490122879e-10
45.75 11.75 1.0747630563301414e-09
45.75 11.85 8.721247057863479e-10
45.75 11.95 7.554878389548492e-10
45.75 12.05 6.307726008181191e-10
45.75 12.15 6.87269852139849e-10
45.75 12.25 8.636048542953745e-10
45.75 12.35 4.0373224208245517e-10
45.75 12.45 5.249963797027135e-10
45.75 12.55 4.3510123282075597e-10
45.75 12.65 3.90280474604765e-10
45.75 12.75 2.5674098957928493e-10
